latitude,longitude,frp,brightness_k,confidence,nearest_facility,distance_km,classification,severity
22.33359,69.86769,1.95,305.68,n,None,24.78,Agricultural / Stubble Burning,MODERATE
22.93052,69.69683,0.79,309.17,n,None,63.12,Agricultural / Stubble Burning,MODERATE
22.93487,69.70141,1.1,303.23,n,None,63.24,Agricultural / Stubble Burning,MODERATE
23.11865,70.08547,2.13,318.92,n,None,72.1,Agricultural / Stubble Burning,MODERATE
23.31297,70.1991,0.85,305.38,n,None,94.77,Agricultural / Stubble Burning,MODERATE
24.68875,73.00188,1.46,303.27,n,None,388.37,Agricultural / Stubble Burning,MODERATE
25.38727,68.58311,1.53,306.55,n,None,357.25,Agricultural / Stubble Burning,MODERATE
28.05321,69.36735,1.98,312.98,n,None,624.61,Agricultural / Stubble Burning,MODERATE
28.42666,69.69976,2.13,308.44,n,None,663.25,Agricultural / Stubble Burning,MODERATE
19.37056,71.35753,4.62,305.87,n,None,370.21,Agricultural / Stubble Burning,MODERATE
19.37163,71.35265,4.62,336.4,n,None,369.91,Agricultural / Stubble Burning,MODERATE
19.37215,71.35577,7.94,322.79,n,None,369.97,Agricultural / Stubble Burning,MODERATE
6.62034,80.86146,9.44,335.6,n,None,1621.03,Agricultural / Stubble Burning,MODERATE
6.70589,81.02266,11.03,345.97,n,None,1611.02,Agricultural / Stubble Burning,MODERATE
7.64065,81.0046,13.08,334.48,n,None,1507.16,Agricultural / Stubble Burning,MODERATE
7.73534,81.04542,22.31,354.29,n,None,1496.52,Agricultural / Stubble Burning,MODERATE
7.73657,81.04612,35.46,367.0,h,None,1496.38,Wildfire / Forest Thermal Event,HIGH
7.80653,79.93188,7.33,334.09,n,None,1496.27,Agricultural / Stubble Burning,MODERATE
7.99491,81.06725,7.48,334.84,n,None,1467.61,Agricultural / Stubble Burning,MODERATE
